id,name,host_id,PriceSeq,Price,ReviewSeq,ReviewScore,NBSeq
3610778,"Private Room with Bunk Bed near Harvard/MIT",4297079,1,85.00,5,96,5
3649162,"Walk to MIT or Harvard!  Perfect for a family",18446559,4,210.00,5,100,4
3652550,"#34-2 Charming Apt in Porter Sq!",1461240,3,185.00,4,90,7
3684345,"Lux 2 Bedroom Cambridge Apt by MIT",9419684,3,191.00,5,95,5
3740822,"Lux 2BR Cambridge Apt by MIT",9419684,3,179.00,5,95,5
3774900,"City Oasis |Deck & Yard |Walk To Harvard MIT Train",6823717,2,101.00,5,96,4
3796979,"#34-1 Great apartment in Cambridge!",1461240,3,165.00,5,92,7
3894437,"Lovely Studio in Cambridge -- Great Location",6839881,2,122.00,5,100,7
3945567,"Peaceful One-Bedroom Apartment",20446189,2,140.00,5,98,8
3966829,"Sunny Base close to MIT",20414167,3,160.00,5,94,11
4057005,"Nice 3BR Private Apt, W/D, Walk to Harvard/Shops",17028791,2,119.00,0,0,13
4112094,"Cambridge Studio Apartment",404360,2,120.00,5,91,13
4116478,"Great House in Central Square",4578066,5,350.00,5,93,4
4209359,"1B PRIVATE STUDIO APT! HARVARD/MIT+REDUCED",81038,2,110.00,5,99,6
4216908,"Quiet home near Porter, Harvard. On Red Line",21885217,4,225.00,5,99,8
4235636,"Cozy Room in a Charming Townhouse",10427720,2,125.00,5,97,10
4270619,"Sunny 3 Bdr corner luxury apartment",21631889,5,251.00,5,96,11
4338244,"Lux Kendall Square 1 Bedroom w/gym, WiFi",9419684,3,160.00,5,100,5
4363059,"3BR Private Apt, 1 Mile To Harvard, Walk To Stores",17028791,2,115.00,4,86,13
4437529,"Lux 2BR Cambridge Apt by MIT",9419684,4,205.00,5,91,5
4437789,"Lux 1 Bedroom Cambridge Apt by MIT",9419684,3,160.00,4,90,5
4455298,"Family Friendly 3 Bedroom",21631889,5,282.00,5,97,11
4489577,"Lux 1 Bedroom Cambridge Apt by MIT",9419684,3,155.00,4,90,5
4736800,"Harvard & MIT- Sweet Retreat in Coolest Cambridge!",10732627,2,136.00,5,97,6
4753390,"Live Large in Transformable Studio",21631889,3,153.00,5,96,11
4759313,"Private Apartment - enjoy the space",24302173,3,179.00,5,98,10
4824130,"Cambridge Modern Living",1800647,1,76.00,0,0,13
4841421,"Huge classy 3BR Apt w/parking, sleeps 7",8618392,4,250.00,5,92,4
4894617,"Large, cozy 1BD in awesome location",25187338,1,80.00,0,0,4
4921626,"Private apartment",24302173,3,170.00,0,0,10
4924035,"Cambridge Long-Term Spacious Room",7757356,1,67.00,5,100,10
4932029,"Garden-level one-bedroom apartment",25407755,2,135.00,5,99,8
4954584,"Elegant contemporary 2Br",21631889,4,248.00,5,97,11
4956321,"Charming Third Floor Apartment",25547444,2,145.00,5,99,1
4958294,"HOLIDAY IN HARVARD SQUARE. EASY COMMUTE TO BOSTON",87398,3,179.00,5,91,7
5016234,"Bright, Beautiful 2 Bed 2 Bath near Kendall/MIT",7388427,2,108.00,5,100,12
5051452,"Harvard-Central Studio loft with rooftop",22648706,3,198.00,4,85,6
5320198,"Comfy, rm Harvard Sq w Pvt. Ent/bth",7704595,1,60.00,0,0,13
5365197,"Cozy Bedroom nr Harvard/MIT/Kendall",2861941,1,100.00,5,99,6
5666988,"Sunny 3BD House near Harvard Square",19742431,5,410.00,5,99,13
5680028,"Colonial home near Harvard Square in Cambridge",24498919,3,195.00,5,100,13
5705842,"Lux Corner 2Br near MIT/Kendall",21631889,5,253.00,5,97,11
5791244,"Sunny Huron Village Apt. w/ Terrace",30045286,3,181.00,5,98,13
5811422,"Studio-type space near Central Square",12576232,1,70.00,4,88,11
5857136,"Lovely apt easy walk to Harvard Sq",1260886,3,195.00,5,97,7
5870441,"Lux Furnished Cambridge 1-BR Apartment",30283594,3,199.00,5,100,5
6013381,"Modern Spacious 1BR | Kitchen + Work Desk | by GLS",30283594,3,159.00,3,80,5
6106691,"Luxury Harvard/MIT Victorian",8824696,4,201.00,5,95,13
6185544,"Sunny 3 bed/2 bath-5 min to T- Harvard/MIT/Boston",21745230,3,189.00,5,97,8
6363476,"?????? Dwell Well In A Philadelphia-Style Apartment ??????",33155440,5,283.00,5,100,1
6365545,"32 - Quiet , comfortable and quaint private room.",17028791,1,50.00,4,83,13
6374780,"Big 2 bedroom, steps to Davis Sq",25354687,3,171.00,5,100,8
